,rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
2,10234,3000,3.0,1,1000,4,1.0,106,0,0,0,0,0,0,0,0,Astoria,Queens
6,10524,1950,1.0,1,950,1,3.0,83,0,0,0,0,0,0,0,0,Forest Hills,Queens
8,5465,3500,1.0,1,996,9,7.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
21,5259,1725,1.0,1,800,1,2.0,89,0,0,0,0,0,0,0,0,Astoria,Queens
25,9736,1700,1.0,1,730,10,3.0,7,0,0,0,0,0,0,0,0,Briarwood,Queens
26,3833,2550,2.0,1,1000,4,3.0,20,1,0,0,0,0,0,0,0,Forest Hills,Queens
35,4315,2550,2.0,1,1081,2,3.0,65,1,0,0,0,0,0,0,0,Rego Park,Queens
59,3545,3100,1.0,1,787,6,3.0,9,1,1,0,1,1,0,1,0,Long Island City,Queens
61,5606,1399,0.0,1,580,8,1.0,13,0,0,0,0,0,0,0,0,Briarwood,Queens
80,1746,2275,0.0,1,481,3,27.0,16,1,0,0,0,0,0,0,0,Long Island City,Queens
102,10315,3400,3.0,2,1200,2,2.0,86,0,0,0,0,0,0,0,0,Astoria,Queens
107,8385,2695,1.0,1,875,8,15.0,56,1,0,0,0,0,0,0,0,Forest Hills,Queens
109,3257,4275,2.0,2,913,6,16.0,0,1,0,0,0,0,0,0,0,Long Island City,Queens
120,194,2000,2.0,1,1000,7,3.0,76,0,0,0,0,0,0,0,0,Forest Hills,Queens
121,9386,2200,1.0,1,886,8,4.0,58,1,0,0,0,0,0,0,0,Sunnyside,Queens
122,10593,2400,2.0,1,825,11,2.0,88,0,0,0,0,0,0,0,0,Astoria,Queens
147,8402,1850,1.0,1,1000,2,1.0,11,0,0,0,0,0,0,0,0,Astoria,Queens
153,987,1600,0.0,1,600,3,5.0,65,0,0,0,0,0,0,0,0,Jackson Heights,Queens
187,6861,2025,2.0,1,891,6,2.0,54,1,0,0,0,0,0,0,0,Kew Gardens,Queens
197,10963,1900,1.0,1,900,3,7.0,61,1,0,0,0,0,0,0,0,Elmhurst,Queens
203,6743,2200,1.0,1,665,27,4.0,12,1,0,0,0,0,0,0,0,Kew Gardens Hills,Queens
214,8457,2000,1.0,1,482,8,4.0,86,0,0,0,0,0,0,0,0,Corona,Queens
216,2334,3295,2.0,2,1368,3,3.0,7,0,0,0,0,0,0,0,0,Astoria,Queens
217,5844,2350,1.0,1,600,5,6.0,12,0,0,0,0,0,0,0,0,Astoria,Queens
222,6754,3450,1.0,1,888,2,6.0,8,0,0,1,1,1,1,0,1,Long Island City,Queens
261,9307,1450,1.0,1,700,8,3.0,92,0,0,0,0,0,0,0,0,Richmond Hill,Queens
269,3516,1975,1.0,1,700,43,20.0,42,0,0,0,0,0,0,0,0,Kew Gardens,Queens
295,3768,2995,3.0,2,1360,4,1.5,71,0,0,0,0,0,0,0,0,Briarwood,Queens
303,7439,2900,3.0,1,1200,10,2.0,96,0,0,0,0,0,0,0,0,Astoria,Queens
306,5133,2000,1.0,1,750,9,5.0,15,0,0,1,0,0,1,0,0,Kew Gardens,Queens
312,8317,1495,0.0,1,550,2,1.0,91,0,0,0,0,0,0,0,0,Rego Park,Queens
318,10885,3400,1.0,1,1000,9,7.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
320,3253,3000,1.0,1,630,6,20.0,0,1,0,0,0,0,0,0,0,Long Island City,Queens
322,6838,2535,1.0,1,570,9,5.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
346,9816,2945,1.0,1,940,9,1.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
352,10312,1900,1.0,1,678,5,4.0,64,1,0,0,0,0,0,0,0,Rego Park,Queens
354,6623,2450,2.0,2,1200,10,2.0,76,0,0,0,0,0,0,0,0,Kew Gardens,Queens
364,4281,1700,1.0,1,575,12,3.0,16,0,0,0,0,0,0,0,0,Astoria,Queens
377,3369,1995,1.0,1,600,14,1.0,68,0,0,0,0,0,0,0,0,Astoria,Queens
380,9365,1800,1.0,1,700,1,3.0,87,0,0,0,0,0,0,0,0,Astoria,Queens
397,4975,1600,0.0,1,490,3,1.0,66,1,0,0,0,0,0,0,0,Rego Park,Queens
401,8545,1835,1.0,1,600,4,10.0,86,1,0,0,0,0,0,0,0,Sunnyside,Queens
407,5208,1625,1.0,1,815,4,7.0,52,0,0,0,0,0,0,0,0,Jamaica Estates,Queens
426,11320,3450,1.0,1,800,6,9.0,9,1,0,1,1,1,0,0,0,Long Island City,Queens
430,4997,1625,1.0,1,620,18,4.0,85,1,0,0,0,0,0,0,0,Queens Village,Queens
441,5614,3275,1.0,1,630,6,15.0,0,1,0,0,0,0,0,0,0,Long Island City,Queens
452,7546,2500,1.0,1,700,15,4.0,116,0,0,1,1,1,0,0,0,Astoria,Queens
455,2928,3410,1.0,1,759,6,5.0,3,1,0,0,0,0,0,0,0,Long Island City,Queens
485,3374,1650,1.0,1,750,4,1.0,90,0,0,0,0,0,0,0,0,Woodhaven,Queens
493,86,2050,0.0,1,500,11,6.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
499,6547,1850,2.0,1,900,3,3.0,86,0,0,0,0,0,0,0,0,Ridgewood,Queens
504,9693,2295,1.0,1,863,11,3.0,8,0,0,0,0,0,0,0,0,Astoria,Queens
514,8969,1700,1.0,1,550,2,27.0,87,0,0,0,0,0,0,0,0,Sunnyside,Queens
530,7009,2595,1.0,1,752,9,1.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
531,8534,2695,2.0,1,800,10,1.0,94,1,0,0,0,0,0,0,0,Astoria,Queens
542,9005,1550,1.0,1,710,4,2.0,21,0,0,0,0,0,0,0,0,Rego Park,Queens
544,6303,2550,1.0,1,650,9,3.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
554,4787,3300,1.0,1,787,43,4.0,5,0,0,0,1,0,0,0,0,Long Island City,Queens
555,5616,2955,1.0,1,630,6,16.0,0,1,0,0,0,0,0,0,0,Long Island City,Queens
566,7371,1575,1.0,1,770,1,3.0,60,0,0,0,0,0,0,0,0,Jamaica Estates,Queens
572,7883,3795,2.0,2,911,1,3.0,85,0,0,0,1,1,1,0,0,Long Island City,Queens
589,5779,2550,1.0,1,750,3,16.0,6,0,0,0,0,0,0,0,0,Flushing,Queens
613,2815,2750,2.0,2,1000,6,1.0,116,0,0,0,0,0,0,0,0,Astoria,Queens
617,1969,2825,1.0,1,651,9,6.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
619,1094,2995,1.0,1,700,2,2.0,9,1,1,1,0,0,1,0,1,Long Island City,Queens
625,6803,2550,2.0,1,985,9,3.0,85,0,0,0,0,0,0,1,0,Sunnyside,Queens
632,3823,2650,0.0,1,518,6,3.0,85,1,0,0,0,0,0,0,0,Long Island City,Queens
633,8687,2395,1.0,1,700,4,3.0,9,0,0,0,0,0,0,0,0,Astoria,Queens
646,7982,1741,0.0,1,487,27,4.0,12,1,0,0,0,0,0,0,0,Kew Gardens Hills,Queens
659,9416,4850,2.0,2,1225,2,8.0,96,0,0,0,0,0,0,0,0,Long Island City,Queens
661,2639,1950,1.0,1,850,7,3.0,61,0,0,0,0,0,0,0,0,Sunnyside,Queens
665,1107,2650,1.0,1,985,5,5.0,71,0,0,0,0,0,0,0,0,Rego Park,Queens
698,8909,1950,1.0,1,950,1,3.0,83,0,0,0,0,0,0,0,0,Forest Hills,Queens
731,5059,2150,1.0,1,800,3,3.0,80,0,0,0,0,0,0,0,0,Sunnyside,Queens
739,1970,3500,1.0,1,988,9,7.0,3,1,0,0,0,0,0,0,0,Astoria,Queens
741,8863,1465,1.0,1,470,2,2.0,85,0,0,0,0,0,0,0,0,Sunnyside,Queens
